!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-755.1,47.4,5.0,0.1,298.15,
R00004,-14.8,0.4,5.0,0.1,298.15,
R00005,-112.9,15.2,5.0,0.1,298.15,
R00006,43.6,7.4,5.0,0.1,298.15,
R00008,16.3,4.7,5.0,0.1,298.15,
R00009,-193.1,13.3,5.0,0.1,298.15,
R00010,-11.7,2.1,5.0,0.1,298.15,
R00011,,,5.0,0.1,298.15,uncertainty is too high
R00012,15.5,15.0,5.0,0.1,298.15,
R00013,-31.0,8.8,5.0,0.1,298.15,
R00014,,,5.0,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,5.0,0.1,298.15,
R00016,1.7,5.2,5.0,0.1,298.15,
R00017,,,5.0,0.1,298.15,uncertainty is too high
R00018,-0.8,15.6,5.0,0.1,298.15,
R00019,-16.5,13.0,5.0,0.1,298.15,
R00021,100.8,11.8,5.0,0.1,298.15,
R00022,-14.5,18.3,5.0,0.1,298.15,
R00023,,,5.0,0.1,298.15,uncertainty is too high
R00024,-7.7,7.5,5.0,0.1,298.15,
R00025,,,5.0,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,5.0,0.1,298.15,
R00027,7.8,20.1,5.0,0.1,298.15,
R00028,-14.6,3.1,5.0,0.1,298.15,
R00029,,,5.0,0.1,298.15,uncertainty is too high
R00031,-522.5,15.4,5.0,0.1,298.15,
R00032,-364.6,88.8,5.0,0.1,298.15,
R00033,,,5.0,0.1,298.15,uncertainty is too high
R00034,,,5.0,0.1,298.15,uncertainty is too high
R00036,-98.4,9.7,5.0,0.1,298.15,
R00038,-10.0,4.4,5.0,0.1,298.15,
R00039,1.0,6.3,5.0,0.1,298.15,
R00041,,,5.0,0.1,298.15,uncertainty is too high
R00042,-671.9,20.3,5.0,0.1,298.15,
R00043,-367.4,26.8,5.0,0.1,298.15,
R00044,,,5.0,0.1,298.15,uncertainty is too high
R00045,-383.9,20.7,5.0,0.1,298.15,
R00047,,,5.0,0.1,298.15,uncertainty is too high
R00048,-38.4,9.7,5.0,0.1,298.15,
R00049,-8.2,39.2,5.0,0.1,298.15,
R00052,,,5.0,0.1,298.15,uncertainty is too high
R00053,-46.9,33.2,5.0,0.1,298.15,
R00054,-46.8,24.7,5.0,0.1,298.15,
R00055,-423.3,10.5,5.0,0.1,298.15,
R00056,,,5.0,0.1,298.15,uncertainty is too high
R00057,,,5.0,0.1,298.15,uncertainty is too high
R00058,-277.6,24.5,5.0,0.1,298.15,
R00059,13.3,11.1,5.0,0.1,298.15,
R00060,,,5.0,0.1,298.15,uncertainty is too high
R00061,,,5.0,0.1,298.15,uncertainty is too high
R00062,0.2,162.8,5.0,0.1,298.15,
R00063,-6.5,7.8,5.0,0.1,298.15,
R00066,-173.4,34.0,5.0,0.1,298.15,
R00067,75.9,5.8,5.0,0.1,298.15,
R00068,,,5.0,0.1,298.15,uncertainty is too high
R00069,162.9,15.4,5.0,0.1,298.15,
R00070,-689.2,97.2,5.0,0.1,298.15,
R00072,,,5.0,0.1,298.15,uncertainty is too high
R00073,,,5.0,0.1,298.15,uncertainty is too high
R00074,,,5.0,0.1,298.15,uncertainty is too high
R00075,,,5.0,0.1,298.15,uncertainty is too high
R00076,,,5.0,0.1,298.15,uncertainty is too high
R00077,,,5.0,0.1,298.15,uncertainty is too high
R00078,-104.4,33.5,5.0,0.1,298.15,
R00080,,,5.0,0.1,298.15,uncertainty is too high
R00081,,,5.0,0.1,298.15,uncertainty is too high
R00082,,,5.0,0.1,298.15,uncertainty is too high
R00083,,,5.0,0.1,298.15,uncertainty is too high
R00084,-126.9,45.0,5.0,0.1,298.15,
R00085,-40.8,1.2,5.0,0.1,298.15,
R00086,-24.1,0.6,5.0,0.1,298.15,
R00087,-25.9,1.1,5.0,0.1,298.15,
R00088,-68.7,7.0,5.0,0.1,298.15,
R00089,9.0,2.0,5.0,0.1,298.15,
R00090,-338.3,6.4,5.0,0.1,298.15,
R00091,14.3,6.6,5.0,0.1,298.15,
R00092,189.6,16.4,5.0,0.1,298.15,
R00093,61.6,1.8,5.0,0.1,298.15,
R00094,30.6,1.7,5.0,0.1,298.15,
R00095,,,5.0,0.1,298.15,uncertainty is too high
R00097,,,5.0,0.1,298.15,uncertainty is too high
R00099,,,5.0,0.1,298.15,uncertainty is too high
R00100,,,5.0,0.1,298.15,uncertainty is too high
R00101,,,5.0,0.1,298.15,uncertainty is too high
R00102,-26.0,6.3,5.0,0.1,298.15,
R00103,-32.9,5.9,5.0,0.1,298.15,
R00104,-2.9,5.8,5.0,0.1,298.15,
R00105,-1.5,5.8,5.0,0.1,298.15,
R00106,,,5.0,0.1,298.15,uncertainty is too high
R00107,,,5.0,0.1,298.15,uncertainty is too high
R00108,,,5.0,0.1,298.15,uncertainty is too high
R00109,,,5.0,0.1,298.15,uncertainty is too high
R00111,,,5.0,0.1,298.15,uncertainty is too high
R00112,-1.4,0.7,5.0,0.1,298.15,
R00113,-339.7,6.5,5.0,0.1,298.15,
R00114,63.0,1.9,5.0,0.1,298.15,
R00115,32.0,1.6,5.0,0.1,298.15,
R00118,-21.2,5.8,5.0,0.1,298.15,
R00119,-23.2,6.5,5.0,0.1,298.15,
R00120,-114.7,8.4,5.0,0.1,298.15,
R00122,-16.7,0.6,5.0,0.1,298.15,
R00123,-72.2,7.6,5.0,0.1,298.15,
R00125,-32.2,18.3,5.0,0.1,298.15,
R00126,8.1,18.3,5.0,0.1,298.15,
R00127,-7.4,0.3,5.0,0.1,298.15,
R00128,-30.1,5.8,5.0,0.1,298.15,
R00129,-53.1,25.2,5.0,0.1,298.15,
R00130,16.6,5.8,5.0,0.1,298.15,
R00131,-52.7,9.0,5.0,0.1,298.15,
R00132,,,5.0,0.1,298.15,uncertainty is too high
R00134,-12.0,6.5,5.0,0.1,298.15,
R00135,156.0,11.0,5.0,0.1,298.15,
R00137,6.9,5.8,5.0,0.1,298.15,
R00138,,,5.0,0.1,298.15,uncertainty is too high
R00139,3.2,17.6,5.0,0.1,298.15,
R00140,4.2,16.1,5.0,0.1,298.15,
R00141,,,5.0,0.1,298.15,uncertainty is too high
R00143,,,5.0,0.1,298.15,uncertainty is too high
R00145,,,5.0,0.1,298.15,uncertainty is too high
R00146,,,5.0,0.1,298.15,uncertainty is too high
R00148,,,5.0,0.1,298.15,uncertainty is too high
R00149,26.0,7.9,5.0,0.1,298.15,
R00150,50.1,7.9,5.0,0.1,298.15,
R00152,,,5.0,0.1,298.15,uncertainty is too high
R00153,-174.6,7.2,5.0,0.1,298.15,
R00155,-14.2,6.3,5.0,0.1,298.15,
R00156,-1.7,2.5,5.0,0.1,298.15,
R00157,-5.7,2.5,5.0,0.1,298.15,
R00158,-9.9,6.3,5.0,0.1,298.15,
R00159,-22.4,2.5,5.0,0.1,298.15,
R00160,-23.7,9.4,5.0,0.1,298.15,
R00161,-2.3,9.4,5.0,0.1,298.15,
R00162,,,5.0,0.1,298.15,uncertainty is too high
R00164,,,5.0,0.1,298.15,uncertainty is too high
R00165,,,5.0,0.1,298.15,uncertainty is too high
R00166,,,5.0,0.1,298.15,uncertainty is too high
R00167,,,5.0,0.1,298.15,uncertainty is too high
R00168,,,5.0,0.1,298.15,uncertainty is too high
R00169,,,5.0,0.1,298.15,uncertainty is too high
R00170,,,5.0,0.1,298.15,uncertainty is too high
R00172,,,5.0,0.1,298.15,uncertainty is too high
R00173,-14.0,14.6,5.0,0.1,298.15,
R00174,-10.1,3.9,5.0,0.1,298.15,
R00175,,,5.0,0.1,298.15,uncertainty is too high
R00177,,,5.0,0.1,298.15,uncertainty is too high
R00178,,,5.0,0.1,298.15,uncertainty is too high
R00179,,,5.0,0.1,298.15,uncertainty is too high
R00180,,,5.0,0.1,298.15,uncertainty is too high
R00181,-41.9,3.8,5.0,0.1,298.15,
R00182,-20.8,3.0,5.0,0.1,298.15,
R00183,-17.9,2.8,5.0,0.1,298.15,
R00184,-24.8,18.3,5.0,0.1,298.15,
R00185,-6.2,2.8,5.0,0.1,298.15,
R00187,,,5.0,0.1,298.15,uncertainty is too high
R00188,-19.1,6.1,5.0,0.1,298.15,
R00189,-8.3,25.3,5.0,0.1,298.15,
R00190,14.2,2.6,5.0,0.1,298.15,
R00191,-34.9,2.2,5.0,0.1,298.15,
R00192,34.7,5.8,5.0,0.1,298.15,
R00193,-33.1,5.6,5.0,0.1,298.15,
R00194,-17.7,5.4,5.0,0.1,298.15,
R00195,-7.8,7.3,5.0,0.1,298.15,
R00196,,,5.0,0.1,298.15,uncertainty is too high
R00197,,,5.0,0.1,298.15,uncertainty is too high
R00198,,,5.0,0.1,298.15,uncertainty is too high
R00199,18.4,1.0,5.0,0.1,298.15,
R00200,35.0,0.8,5.0,0.1,298.15,
R00203,-5.8,4.1,5.0,0.1,298.15,
R00205,-4.4,4.1,5.0,0.1,298.15,
R00206,33.2,1.0,5.0,0.1,298.15,
R00207,-167.3,10.4,5.0,0.1,298.15,
R00208,-59.1,1.1,5.0,0.1,298.15,
R00209,-34.3,6.4,5.0,0.1,298.15,
R00210,-32.9,6.4,5.0,0.1,298.15,
R00211,-179.6,10.3,5.0,0.1,298.15,
R00212,20.9,3.0,5.0,0.1,298.15,
R00213,,,5.0,0.1,298.15,uncertainty is too high
R00214,14.4,6.2,5.0,0.1,298.15,
R00215,23.7,10.3,5.0,0.1,298.15,
R00216,15.8,6.2,5.0,0.1,298.15,
R00217,-28.7,6.2,5.0,0.1,298.15,
R00218,,,5.0,0.1,298.15,uncertainty is too high
R00219,34.4,8.5,5.0,0.1,298.15,
R00220,-28.7,1.8,5.0,0.1,298.15,
R00221,-27.7,5.8,5.0,0.1,298.15,
R00223,-28.9,3.5,5.0,0.1,298.15,
R00224,-29.7,6.5,5.0,0.1,298.15,
R00226,43.6,7.4,5.0,0.1,298.15,
R00227,-19.6,1.0,5.0,0.1,298.15,
R00228,-4.6,2.4,5.0,0.1,298.15,
R00229,-4.5,0.8,5.0,0.1,298.15,
R00230,12.3,1.2,5.0,0.1,298.15,
R00233,-30.9,6.3,5.0,0.1,298.15,
